DEBUG:PIL.PngImagePlugin:STREAM b'IHDR' 16 13
DEBUG:PIL.PngImagePlugin:STREAM b'pHYs' 41 9
DEBUG:PIL.PngImagePlugin:STREAM b'iTXt' 62 1666
DEBUG:PIL.PngImagePlugin:STREAM b'IDAT' 1740 71177
INFO:root:Pixel at (105, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (106, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (107, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (108, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (109, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (110, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (111, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (112, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (113, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (114, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (115, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (116, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (117, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (118, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (119, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (120, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (121, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (122, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (123, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (124, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (125, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (126, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (127, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (128, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (129, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (130, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (131, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (132, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (133, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (134, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (135, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (136, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (137, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (138, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (139, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (140, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (141, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (142, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (143, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (144, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (145, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (146, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (147, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (148, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (149, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (150, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (151, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (152, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (153, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (154, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (155, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (156, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (157, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (158, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (159, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (160, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (161, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (162, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (163, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (164, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (165, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (166, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (167, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (168, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (169, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (170, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (171, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (172, 0) - R: 240, G: 0, B: 255, A: 252
INFO:root:	Pixel at (172, 0) - R: 240, G: 0, B: 255, A: 252
INFO:root:	Pixel at (171, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:weightRatioLFT : 1.0
INFO:root:Pixel at (173, 0) - R: 240, G: 0, B: 255, A: 174
INFO:root:	Pixel at (173, 0) - R: 240, G: 0, B: 255, A: 174
INFO:root:	Pixel at (172, 0) - R: 240, G: 0, B: 255, A: 252
INFO:root:	Pixel at (171, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:weightRatioLFT : 0.5
INFO:root:Pixel at (174, 0) - R: 240, G: 0, B: 255, A: 19
INFO:root:	Pixel at (174, 0) - R: 240, G: 0, B: 255, A: 19
INFO:root:	Pixel at (173, 0) - R: 240, G: 0, B: 255, A: 174
INFO:root:	Pixel at (172, 0) - R: 240, G: 0, B: 255, A: 252
INFO:root:	Pixel at (171, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:weightRatioLFT : 0.3333333333333333
INFO:root:Pixel at (175, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (175, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (174, 0) - R: 240, G: 0, B: 255, A: 19
INFO:root:	Pixel at (173, 0) - R: 240, G: 0, B: 255, A: 174
INFO:root:	Pixel at (172, 0) - R: 240, G: 0, B: 255, A: 252
INFO:root:	Pixel at (171, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:weightRatioLFT : 0.25
INFO:root:Pixel at (176, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (176, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (175, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (174, 0) - R: 240, G: 0, B: 255, A: 19
INFO:root:	Pixel at (173, 0) - R: 240, G: 0, B: 255, A: 174
INFO:root:	Pixel at (172, 0) - R: 240, G: 0, B: 255, A: 252
INFO:root:	Pixel at (171, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:weightRatioLFT : 0.2
INFO:root:Pixel at (177, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (177, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (176, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (175, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (174, 0) - R: 240, G: 0, B: 255, A: 19
INFO:root:	Pixel at (173, 0) - R: 240, G: 0, B: 255, A: 174
INFO:root:	Pixel at (172, 0) - R: 240, G: 0, B: 255, A: 252
INFO:root:	Pixel at (171, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:weightRatioLFT : 0.16666666666666666
INFO:root:Pixel at (178, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (178, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (177, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (176, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (175, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (174, 0) - R: 240, G: 0, B: 255, A: 19
INFO:root:	Pixel at (173, 0) - R: 240, G: 0, B: 255, A: 174
INFO:root:	Pixel at (172, 0) - R: 240, G: 0, B: 255, A: 252
INFO:root:	Pixel at (171, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:weightRatioLFT : 0.14285714285714285
INFO:root:Pixel at (179, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (179, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (178, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (177, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (176, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (175, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (174, 0) - R: 240, G: 0, B: 255, A: 19
INFO:root:	Pixel at (173, 0) - R: 240, G: 0, B: 255, A: 174
INFO:root:	Pixel at (172, 0) - R: 240, G: 0, B: 255, A: 252
INFO:root:	Pixel at (171, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:weightRatioLFT : 0.125
INFO:root:Pixel at (180, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (180, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (179, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (178, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (177, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (176, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (175, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (174, 0) - R: 240, G: 0, B: 255, A: 19
INFO:root:	Pixel at (173, 0) - R: 240, G: 0, B: 255, A: 174
INFO:root:	Pixel at (172, 0) - R: 240, G: 0, B: 255, A: 252
INFO:root:	Pixel at (171, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:weightRatioLFT : 0.1111111111111111
INFO:root:Pixel at (181, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (181, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (180, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (179, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (178, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (177, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (176, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (175, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (174, 0) - R: 240, G: 0, B: 255, A: 19
INFO:root:	Pixel at (173, 0) - R: 240, G: 0, B: 255, A: 174
INFO:root:	Pixel at (172, 0) - R: 240, G: 0, B: 255, A: 252
INFO:root:	Pixel at (171, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:weightRatioLFT : 0.1
INFO:root:Pixel at (182, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (182, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (181, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (180, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (179, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (178, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (177, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (176, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (175, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (174, 0) - R: 240, G: 0, B: 255, A: 19
INFO:root:	Pixel at (173, 0) - R: 240, G: 0, B: 255, A: 174
INFO:root:	Pixel at (172, 0) - R: 240, G: 0, B: 255, A: 252
INFO:root:	Pixel at (171, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:weightRatioLFT : 0.09090909090909091
INFO:root:Pixel at (183, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (183, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (182, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (181, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (180, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (179, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (178, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (177, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (176, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (175, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (174, 0) - R: 240, G: 0, B: 255, A: 19
INFO:root:	Pixel at (173, 0) - R: 240, G: 0, B: 255, A: 174
INFO:root:	Pixel at (172, 0) - R: 240, G: 0, B: 255, A: 252
INFO:root:	Pixel at (171, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:weightRatioLFT : 0.08333333333333333
INFO:root:Pixel at (184, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (184, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (183, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (182, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (181, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (180, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (179, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (178, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (177, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (176, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (175, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (174, 0) - R: 240, G: 0, B: 255, A: 19
INFO:root:	Pixel at (173, 0) - R: 240, G: 0, B: 255, A: 174
INFO:root:	Pixel at (172, 0) - R: 240, G: 0, B: 255, A: 252
INFO:root:	Pixel at (171, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:weightRatioLFT : 0.07692307692307693
INFO:root:Pixel at (185, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (185, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (184, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (183, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (182, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (181, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (180, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (179, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (178, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (177, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (176, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (175, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (174, 0) - R: 240, G: 0, B: 255, A: 19
INFO:root:	Pixel at (173, 0) - R: 240, G: 0, B: 255, A: 174
INFO:root:	Pixel at (172, 0) - R: 240, G: 0, B: 255, A: 252
INFO:root:	Pixel at (171, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:weightRatioLFT : 0.07142857142857142
INFO:root:Pixel at (186, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (186, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (185, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (184, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (183, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (182, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (181, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (180, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (179, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (178, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (177, 0) - R: 255, G: 255, B: 255, A: 0
INFO:root:	Pixel at (176, 0) - R: 255, G: 255, B: 255, A: 0
